연번,호선,역명,설치대수,제조사,모델명,적용면적(제곱미터),처리용량(CMH),설치일자,데이터 기준일자
1,1,설화명곡,37,LG전자㈜,AS480BWFB,158,1230,2020-10-26,2023-07-31
2,1,화원,26,LG전자㈜,AS480BWFB,158,1230,2020-10-26,2023-07-31
3,1,대곡,21,LG전자㈜,AS480BWFB,158,1230,2020-10-26,2023-07-31
4,1,진천,16,LG전자㈜,AS480BWFB,158,1230,2020-10-26,2023-07-31
5,1,월배,16,LG전자㈜,AS480BWFB,158,1230,2020-10-26,2023-07-31
6,1,상인,17,LG전자㈜,AS480BWFB,158,1230,2020-10-26,2023-07-31
7,1,월촌,23,LG전자㈜,AS480BWFB,158,1230,2020-10-26,2023-07-31
8,1,송현,30,LG전자㈜,AS480BWFB,158,1230,2020-10-26,2023-07-31
9,1,서부정류장,25,LG전자㈜,AS480BWFB,158,1230,2020-10-26,2023-07-31
10,1,대명,19,LG전자㈜,AS480BWFB,158,1230,2020-10-26,2023-07-31
11,1,안지랑,16,LG전자㈜,AS480BWFB,158,1230,2020-10-26,2023-07-31
12,1,현충로,21,LG전자㈜,AS480BWFB,158,1230,2020-10-26,2023-07-31
13,1,영대병원,20,LG전자㈜,AS480BWFB,158,1230,2020-10-26,2023-07-31
14,1,교대,31,LG전자㈜,AS480BWFB,158,1230,2020-10-26,2023-07-31
15,1,1명덕,20,LG전자㈜,AS480BWFB,158,1230,2020-10-26,2023-07-31
16,1,1반월당,29,LG전자㈜,AS480BWFB,158,1230,2020-10-26,2023-07-31
17,1,중앙로,42,LG전자㈜,AS480BWFB,158,1230,2020-10-26,2023-07-31
18,1,대구역,27,LG전자㈜,AS480BWFB,158,1230,2020-10-26,2023-07-31
19,1,칠성시장,38,LG전자㈜,AS480BWFB,158,1230,2020-10-26,2023-07-31
20,1,신천,17,LG전자㈜,AS480BWFB,158,1230,2020-10-26,2023-07-31
21,1,동대구역,32,LG전자㈜,AS480BWFB,158,1230,2020-10-26,2023-07-31
22,1,동구청,17,LG전자㈜,AS480BWFB,158,1230,2020-10-26,2023-07-31
23,1,아양교,27,LG전자㈜,AS480BWFB,158,1230,2020-10-26,2023-07-31
24,1,동촌,32,LG전자㈜,AS480BWFB,158,1230,2020-10-26,2023-07-31
25,1,해안,26,LG전자㈜,AS480BWFB,158,1230,2020-10-26,2023-07-31
26,1,방촌,16,LG전자㈜,AS480BWFB,158,1230,2020-10-26,2023-07-31
27,1,용계,16,LG전자㈜,AS480BWFB,158,1230,2020-10-26,2023-07-31
28,1,율하,19,LG전자㈜,AS480BWFB,158,1230,2020-10-26,2023-07-31
29,1,신기,21,LG전자㈜,AS480BWFB,158,1230,2020-10-26,2023-07-31
30,1,반야월,20,LG전자㈜,AS480BWFB,158,1230,2020-10-26,2023-07-31
31,1,각산,16,LG전자㈜,AS480BWFB,158,1230,2020-10-26,2023-07-31
32,1,안심,13,LG전자㈜,AS480BWFB,158,1230,2020-10-26,2023-07-31
33,2,문양,11,LG전자㈜,AS480BWFB,158,1230,2020-10-26,2023-07-31
34,2,다사,19,LG전자㈜,AS480BWFB,158,1230,2020-10-26,2023-07-31
35,2,대실,29,LG전자㈜,AS480BWFB,158,1230,2020-10-26,2023-07-31
36,2,강창,41,LG전자㈜,AS480BWFB,158,1230,2020-10-26,2023-07-31
37,2,계명대,37,LG전자㈜,AS480BWFB,158,1230,2020-10-26,2023-07-31
38,2,성서산업단지,29,LG전자㈜,AS480BWFB,158,1230,2020-10-26,2023-07-31
39,2,이곡,34,LG전자㈜,AS480BWFB,158,1230,2020-10-26,2023-07-31
40,2,용산,37,LG전자㈜,AS480BWFB,158,1230,2020-10-26,2023-07-31
41,2,죽전,21,LG전자㈜,AS480BWFB,158,1230,2020-10-26,2023-07-31
42,2,감삼,17,LG전자㈜,AS480BWFB,158,1230,2020-10-26,2023-07-31
43,2,두류,23,LG전자㈜,AS480BWFB,158,1230,2020-10-26,2023-07-31
44,2,내당,20,LG전자㈜,AS480BWFB,158,1230,2020-10-26,2023-07-31
45,2,반고개,24,LG전자㈜,AS480BWFB,158,1230,2020-10-26,2023-07-31
46,2,청라언덕,28,LG전자㈜,AS480BWFB,158,1230,2020-10-26,2023-07-31
47,2,반월당,29,LG전자㈜,AS480BWFB,158,1230,2020-10-26,2023-07-31
48,2,경대병원,21,LG전자㈜,AS480BWFB,158,1230,2020-10-26,2023-07-31
49,2,대구은행,22,LG전자㈜,AS480BWFB,158,1230,2020-10-26,2023-07-31
50,2,범어,30,LG전자㈜,AS480BWFB,158,1230,2020-10-26,2023-07-31
51,2,수성구청,29,LG전자㈜,AS480BWFB,158,1230,2020-10-26,2023-07-31
52,2,만촌,29,LG전자㈜,AS480BWFB,158,1230,2020-10-26,2023-07-31
53,2,담티,24,LG전자㈜,AS480BWFB,158,1230,2020-10-26,2023-07-31
54,2,연호,20,LG전자㈜,AS480BWFB,158,1230,2020-10-26,2023-07-31
55,2,대공원,43,LG전자㈜,AS480BWFB,158,1230,2020-10-26,2023-07-31
56,2,고산,23,LG전자㈜,AS480BWFB,158,1230,2020-10-26,2023-07-31
57,2,신매,27,LG전자㈜,AS480BWFB,158,1230,2020-10-26,2023-07-31
58,2,사월,24,LG전자㈜,AS480BWFB,158,1230,2020-10-26,2023-07-31
59,2,정평,21,LG전자㈜,AS480BWFB,158,1230,2020-10-26,2023-07-31
60,2,임당,19,LG전자㈜,AS480BWFB,158,1230,2020-10-26,2023-07-31
61,2,영남대,18,LG전자㈜,AS480BWFB,158,1230,2020-10-26,2023-07-31
