년,월,설화명곡,화원,대곡,진천,월배,상인,월촌,송현,서부정류장,대명,안지랑,현충로,영대병원,교대,명덕1,반월당1,중앙로,대구역,칠성시장,신천,동대구역,동구청,아양교,동촌,해안,방촌,용계,율하,신기,반야월,각산,안심,문양,다사,대실,강창,계명대,성서산업단지,이곡,용산,죽전,감삼,두류,내당,반고개,청라언덕2,반월당2,경대병원,대구은행,범어,수성구청,만촌,담티,연호,대공원,고산,신매,사월,정평,임당,영남대,칠곡경대병원,학정,팔거,동천,칠곡운암,구암,태전,매천,매천시장,팔달,공단,만평,팔달시장,원대,북구청,달성공원,서문시장,청라언덕3,남산,명덕3,건들바위,대봉교,수성시장,수성구민운동장,어린이세상,황금,수성못,지산,범물,용지
2006,01,0,0,162387,122175,98250,306463,116039,117152,292529,86914,110355,91852,162914,107831,151097,244744,742763,341234,152561,136787,351283,120314,119820,45885,86023,98730,41510,35823,99918,53870,112160,94526,48059,30911,28523,70375,153322,129835,97950,182753,112292,119914,159030,92606,93722,146050,415996,110931,125095,131395,98219,79532,50082,9301,8570,57062,186037,100811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,02,0,0,167676,124945,100549,321823,120394,120687,298933,88361,115862,96535,178680,115015,159963,250364,746953,334317,149240,140444,365283,126285,129738,46778,86240,98535,42294,36015,97907,56641,110443,98449,50581,32117,30037,76928,154153,147419,106624,197193,127868,135050,181296,101817,107409,144655,425843,130165,138823,149763,113395,89858,57617,10315,8223,59280,194243,108041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,03,0,0,206452,141658,117971,373093,163141,143060,347247,105944,138618,117149,249918,170632,224676,276063,760897,362218,193010,186499,396561,172077,166273,48270,97954,109605,55126,40504,111820,96176,122260,185160,65238,38366,38471,124016,280384,174561,133895,241282,142794,184953,221406,128147,151105,194406,477945,166078,174097,178653,140997,116265,94164,12111,10036,68588,237041,197962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,04,0,0,203337,135264,114652,357166,149190,138231,335282,104860,130765,112447,234659,161448,213881,262695,690197,367539,187104,171150,406181,164681,163780,57720,95865,103811,52806,39079,107251,88724,115808,167788,63524,36985,37854,125955,253841,176215,128754,234128,148867,179530,228440,123904,148963,190265,445458,163212,165590,180241,134054,111774,89044,12187,11804,63598,225492,179819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,05,0,0,211751,141466,121653,381829,147146,142701,353163,107000,136473,114367,240987,166455,219925,278057,763144,392562,192108,176464,419638,168533,172103,55764,98608,109840,53801,41374,113176,94578,122399,174769,63606,38688,40331,133603,267507,188335,136475,249346,153085,188887,243157,127088,154721,203654,499539,170414,173449,186157,142597,119878,91293,12441,14116,66888,243420,201728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,06,0,0,189988,128669,109871,344053,132965,131208,319264,98110,123558,105497,218811,148194,203004,259958,659225,342646,176289,153903,377649,154486,157090,48005,90342,100594,49358,37422,103234,76624,112913,141826,61859,36343,37538,114637,215837,174756,123266,226209,141692,176308,228451,120796,145514,187573,438141,164666,172015,193037,139363,110772,83883,11903,13686,62993,225742,172843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,07,0,0,183678,127538,107286,337378,121405,132418,305636,95289,119099,100724,194361,128400,190050,276060,732627,351029,168231,138076,367756,134934,146951,41866,86442,95715,43837,36382,99259,58053,108446,102404,62146,33761,35106,91992,167106,168094,115198,223428,131312,165984,197831,115469,130910,170340,459603,149992,157471,158466,128472,102016,69827,11833,11691,59851,212406,130033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,08,0,0,184921,131025,108295,333188,119879,129558,311028,96632,116073,98737,198943,138877,181075,280506,731553,356606,166484,135683,378230,132218,147752,41822,85365,94396,42777,35569,99270,57049,108114,112152,67077,34089,33274,94533,171340,167927,111653,225357,129886,166614,214622,117067,131748,163659,452128,146607,156090,155075,129394,103907,70724,12248,12964,59067,212400,132474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,09,0,0,190419,132413,117805,343794,135577,134998,313055,98961,122888,104962,221885,155141,206210,266152,658132,349948,182819,154785,368045,151414,155021,46447,89708,98909,48973,37613,100584,85120,111722,162083,60761,42896,37821,124257,244190,176480,124460,238245,142094,180193,217881,121876,145681,195350,465372,163021,176043,170713,135845,113701,87483,12801,22731,63710,219682,193645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,10,0,0,189323,131045,116128,332843,125674,126429,320441,93229,119747,101443,203971,142070,190014,251209,663938,351875,171607,144516,396253,141400,154435,51151,90013,95593,48101,36518,99101,77215,108799,148331,57625,51197,37214,115972,217891,175770,118838,227688,143366,171568,218723,117910,139368,185618,454120,154258,163898,163596,128514,107704,79082,11887,14132,62642,212523,177290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,11,0,0,191744,131767,116546,335734,129012,126356,303610,93555,118875,102955,210418,147692,203673,259372,613089,340118,173878,148298,388710,147831,156908,52737,92097,96871,48232,34907,98655,85555,110042,155797,54857,51113,37699,126674,236223,178092,117738,229592,149689,180159,199690,120998,146877,189293,451838,160454,172140,179371,125842,112601,85806,11706,10559,64251,222968,190629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,12,0,0,199467,134762,120378,349464,127949,131102,315243,99209,119821,105259,202056,140809,202295,272323,721005,366670,172684,139848,412880,143187,158160,55019,95448,98684,49840,34697,101519,76093,111829,132911,58923,52605,37541,112162,207803,188651,119818,236432,157098,183530,211228,121373,148299,186358,493119,157761,167958,186436,123434,114912,79410,11564,10678,61606,224217,171305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,01,0,0,194088,131373,117500,337113,108689,127371,303700,99313,116929,103639,198672,123896,183079,281155,692176,343240,167392,129168,395973,130683,150180,51385,87113,95795,43694,34136,94381,59999,107945,104928,58391,50199,35751,95204,171051,179109,111168,221277,149073,172908,204032,116422,136336,175903,490190,156257,160944,186540,124326,110236,66057,10986,10861,60700,223771,138449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,02,0,0,176501,115941,105942,305393,101136,110731,284253,86990,105970,91416,172709,107273,155353,247602,656168,321054,156785,114129,359336,117522,134628,39577,77884,86298,40052,31428,88104,53468,98918,98705,49472,45137,32019,83938,157972,157742,100712,200887,122895,155536,179454,105201,118728,163532,457270,134446,143431,157294,113964,99316,62229,10522,10187,54789,202211,127723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
