연도,구분월,종합청사(세제곱미터),월배기지(세제곱미터),안심기지(세제곱미터),문양기지(세제곱미터),칠곡기지(세제곱미터),범물기지(세제곱미터),1호선 역사(세제곱미터),2호선 역사(세제곱미터),3호선 역사(세제곱미터),경산관리소(세제곱미터),사월관리소(세제곱미터)
2021,01,905,1750,1172,1061,1086,35,14398,7004,5915,53,88
2021,02,943,1405,1031,1229,1253,74,10994,4997,4619,68,102
2021,03,998,1337,986,1141,1499,65,9938,4272,4413,67,82
2021,04,836,1427,1282,1249,953,105,9723,3829,4484,70,73
2021,05,1048,1140,1033,1198,686,97,11837,4231,5083,64,85
2021,06,1141,1724,1196,1471,750,101,14652,4774,5654,69,80
2021,07,1168,1754,1068,1304,745,79,13384,7087,5519,67,124
2021,08,1076,1865,1287,1821,661,71,12197,4641,5382,70,106
2021,09,1287,2426,1465,1679,552,45,16151,6596,5213,62,101
2021,10,1201,1934,1174,2240,605,113,18654,6842,4961,64,83
2021,11,1032,1154,1018,1819,620,99,13975,4701,5199,65,80
2021,12,1027,1129,993,1737,571,78,14088,4903,5597,75,69
2022,01,1044,1605,1200,2177,548,102,14018,7733,5672,71,111
2022,02,1021,1366,659,2002,517,72,12052,4835,4955,89,68
2022,03,1024,1351,901,2102,477,64,11741,4263,4742,85,69
2022,04,777,1367,964,2206,570,151,10194,4355,4281,71,71
2022,05,974,1283,1036,2573,626,40,10587,5110,4746,74,54
2022,06,946,1417,1182,2763,753,115,14427,6357,5790,89,80
2022,07,1124,1701,1314,2948,715,82,13255,8261,6093,65,89
2022,08,2617,1733,1278,2937,514,77,13797,7378,6040,71,129
2022,09,0,2046,1256,3090,659,75,19899,9633,5769,76,85
2022,10,1021,1804,1141,3166,728,66,20010,8708,5475,71,92
2022,11,860,1829,1070,3156,745,81,13935,5315,5565,70,113
2022,12,872,2077,969,2687,800,65,14239,5529,5857,84,80
