연도,구분월(㎥),종합청사,월배기지,안심기지,문양기지,칠곡기지,범물기지,1호선 역사,2호선 역사,3호선 역사,경산관리소,사월관리소
2019,01,838,1929,899,664,895,98,14318,7216,6367,72,66
2019,02,1228,1696,1120,655,591,61,11723,5666,5698,79,90
2019,03,529,1187,1046,718,709,65,11611,4621,5424,83,78
2019,04,753,1495,915,795,585,67,11283,4441,5441,71,77
2019,05,957,1380,856,628,809,65,12168,5396,5989,80,71
2019,06,900,1711,1089,913,878,79,14274,8506,6644,81,77
2019,07,971,1186,901,824,940,104,14789,8699,6933,84,102
2019,08,1044,1816,1195,978,719,134,14661,6360,6829,77,90
2019,09,1181,1744,1158,861,879,90,16461,6891,7206,74,83
2019,10,1282,2072,1327,1396,809,91,20250,8128,6352,86,92
2019,11,958,1753,1005,931,709,88,14425,6482,6532,65,79
2019,12,876,1343,990,809,797,98,14889,5738,6667,77,81
