연도,월,설화명곡,화원,대곡,진천,월배,상인,월촌,송현,서부정류장,대명,안지랑,현충로,영대병원,교대,명덕1,반월당1,중앙로,대구역,칠성시장,신천,동대구역,동구청,아양교,동촌,해안,방촌,용계,율하,신기,반야월,각산,안심,문양,다사,대실,강창,계명대,성서산업단지,이곡,용산,죽전,감삼,두류,내당,반고개,청라언덕2,반월당2,경대병원,대구은행,범어,수성구청,만촌,담티,연호,대공원,고산,신매,사월,정평,임당,영남대,칠곡경대병원,학정,팔거,동천,칠곡운암,구암,태전,매천,매천시장,팔달,공단,만평,팔달시장,원대,북구청,달성공원,서문시장,청라언덕3,남산,명덕3,건들바위,대봉교,수성시장,수성구민운동장,어린이세상,황금,수성못,지산,범물,용지
1997,11,0,0,0,31822790,13615460,29819720,17326360,10944560,30894080,7920160,10114340,8467370,10926180,13900360,10367680,20768180,87010800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,12,0,0,0,88532470,49357310,103636220,56435430,46077180,121078130,31916670,38482660,32029660,38203250,29788680,36687750,63202950,285845790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,01,0,0,0,73424980,41107620,87226680,44690770,40559520,102966050,28338240,32681240,26613640,31731710,23513580,29810400,50836360,241732130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,02,0,0,0,64289270,38768010,82555780,45131310,38151260,94874550,26266070,30338780,25398870,31782160,22986790,28302850,42820910,214655790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,03,0,0,0,69880620,42063750,88750130,54516910,41336900,98526660,27638160,32891770,27061630,39777210,31986560,34366640,45900660,217770390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,04,0,0,0,64898860,40155250,83433200,50321070,37811700,92664050,26825970,29427490,25551600,37382860,28410430,32647480,43799850,209210350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,05,0,0,0,97287270,56341150,140999470,70012080,58249420,167794950,42672700,52395090,44501660,66212660,54872720,78227730,83572220,372712260,47523980,74231770,74002310,133408770,55787660,76835260,22672110,43039890,55669610,26318840,31177660,70315040,45012390,8688330,74199160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,06,0,0,0,82740280,49095570,114303110,61638630,51191860,140116060,36461640,43875430,39096950,57867880,43747620,66648430,68064060,287362200,42069010,61742650,64794050,108376660,48903660,60321290,17165640,33216390,42812610,19803070,24961090,54136030,34235540,6616960,51326040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,07,0,0,0,82673800,48874100,115845050,60515370,52286130,142957320,38916640,44461560,38008640,53317150,42041850,60846980,70127850,300581000,42589840,57545670,61310010,110360670,48902130,58058360,18520770,31670610,43457130,18480030,23290780,53114670,33580930,5995870,37763310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,08,0,0,0,80171360,48366800,107975560,57136110,51243340,141567150,35995600,42669900,36492030,53164960,40106190,58509050,65043120,281403130,44747390,54368290,59340940,112259060,46063240,55076040,16246040,29347710,41767680,16653810,20828150,50602840,31965780,5368830,37010190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
