철도운영기관명,선명,역명,역층,상세위치
대구교통공사,1호선,각산,지하2,(B2)안심 방향 승강장 내(하선)
대구교통공사,1호선,각산,지하2,(B2) 반야월 방향 승강장 내(상선)
대구교통공사,1호선,교대,지하3,(B3) 영대병원 방향 승강장 내(상선)
대구교통공사,1호선,교대,지하3,(B3) 명덕 방향 승강장 내(하선)
대구교통공사,1호선,대곡(정부대구청사),지하2,(B2) 화원 방향 승강장 내(상선)
대구교통공사,1호선,대곡(정부대구청사),지하2,(B2) 진천 방향 승강장 내(하선)
대구교통공사,1호선,대구역,지하3,(B3) 칠성시장 방향 승강장 내(하선)
대구교통공사,1호선,대구역,지하3,(B3) 중앙로 방향 승강장 내(상선)
대구교통공사,1호선,대명,지하2,(B2) 서부정류장 방향 승강장 내(상선)
대구교통공사,1호선,대명,지하2,(B2) 안지랑 방향 승강장 내(하선)
대구교통공사,1호선,동대구역,지하3,(B3) 동구청 방향 승강장 내(하선)
대구교통공사,1호선,동대구역,지하3,(B3) 신천 방향 승강장 내(상선)
대구교통공사,1호선,동촌,지하4,(B2) 해안 방향 승강장 내(하선)
대구교통공사,1호선,동촌,지하4,(B2) 아양교 방향 승강장 내(상선)
대구교통공사,1호선,명덕(2.28민주운동기념회관),지하2,(B2) 반월당 방향 승강장 내(하선)
대구교통공사,1호선,명덕(2.28민주운동기념회관),지하2,(B2) 교대 방향 승강장 내(상선)
대구교통공사,1호선,반야월,지하2,(B2) 신기 방향 승강장 내(상선)
대구교통공사,1호선,반야월,지하2,(B2) 각산 방향 승강장 내(하선)
대구교통공사,1호선,반월당,지하3,(B3) 중앙로 방향 승강장 내(하선)
대구교통공사,1호선,반월당,지하3,(B3) 명덕 방향 승강장 내(상선)
대구교통공사,1호선,방촌,지하2,(B2) 해안 방향 승강장 내(상선)
대구교통공사,1호선,방촌,지하2,(B2) 용계 방향 승강장 내(하선)
대구교통공사,1호선,상인,지하2,(B2) 월촌 방향 승강장 내(하선)
대구교통공사,1호선,상인,지하2,(B2) 웡배 방향 승강장 내(상선)
대구교통공사,1호선,설화명곡,지하3,(B3) 설화명곡 방향 승강장 내(상선)
대구교통공사,1호선,설화명곡,지하3,(B3) 화원 방향 승강장 내(하선)
대구교통공사,1호선,서부정류장(관문시장),지하2,(B2) 대명 방향 승강장 내(하선)
대구교통공사,1호선,서부정류장(관문시장),지하2,(B2) 송현 방향 승강장 내(상선)
대구교통공사,1호선,송현,지하2,(B2) 월촌 방향 승강장 내(상선)
대구교통공사,1호선,송현,지하2,(B2) 서부정류장 방향 승강장 내(하선)
대구교통공사,1호선,신기,지하2,(B2) 율하 방향 승강장 내(상선)
대구교통공사,1호선,신기,지하2,(B2) 반야월 방향 승강장 내(하선)
대구교통공사,1호선,신천(경북대입구),지하2,(B2) 동대구역 방향 승강장 내(하선)
대구교통공사,1호선,신천(경북대입구),지하2,(B2) 칠성시장 방향 승강장 내(상선)
대구교통공사,1호선,아양교,지하4,(B2) 동촌 방향 승강장 내(하선)
대구교통공사,1호선,아양교,지하4,(B2) 동구청 방향 승강장 내(상선)
대구교통공사,1호선,안심(혁신도시·첨복단지),지하2,(B2) 각산 방향 승강장 내(상선)
대구교통공사,1호선,안지랑,지하2,(B2) 현충로 방향 승강장 내(하선)
대구교통공사,1호선,안지랑,지하2,(B2) 대명 방향 승강장 내(상선)
대구교통공사,1호선,영대병원,지하2,(B2) 현충로 방향 승강장 내(상선)
대구교통공사,1호선,영대병원,지하2,(B2) 교대 방향 승강장 내(하선)
대구교통공사,1호선,용계,지하2,(B2) 율하 방향 승강장 내(하선)
대구교통공사,1호선,용계,지하2,(B2) 방촌 방향 승강장 내(상선)
대구교통공사,1호선,월배,지하2,(B2) 진천 방향 승강장 내(상선)
대구교통공사,1호선,월배,지하2,(B2) 상인 방향 승강장 내(하선)
대구교통공사,1호선,월촌,지하2,(B2) 상인 방향 승강장 내(상선)
대구교통공사,1호선,월촌,지하2,(B2) 송현 방향 승강장 내(하선)
대구교통공사,1호선,율하,지하2,(B2) 신기 방향 승강장 내(하선)
대구교통공사,1호선,율하,지하2,(B2) 용계 방향 승강장 내(상선)
대구교통공사,1호선,중앙로,지하3,(B3) 반월당 방향 승강장 내(상선)
대구교통공사,1호선,중앙로,지하3,(B3) 대구역 방향 승강장 내(하선)
대구교통공사,1호선,진천,지하2,(B2) 월배 방향 승강장 내(하선)
대구교통공사,1호선,진천,지하2,(B2) 대곡 방향 승강장 내(상선)
대구교통공사,1호선,칠성시장,지하3,(B3) 신천 방향 승강장 내(하선)
대구교통공사,1호선,칠성시장,지하3,(B3) 대구역 방향 승강장 내(상선)
대구교통공사,1호선,동구청(큰고개),지하2,(B2) 아양교 방향 승강장 내(하선)
대구교통공사,1호선,동구청(큰고개),지하2,(B2) 동대구역 방향 승강장 내(상선)
대구교통공사,1호선,해안,지하3,(B2) 동촌 방향 승강장 내(상선)
대구교통공사,1호선,해안,지하3,(B2) 방촌 방향 승강장 내(하선)
대구교통공사,1호선,현충로,지하2,(B2) 영대병원 방향 승강장 내(하선)
대구교통공사,1호선,현충로,지하2,(B2) 안지랑 방향 승강장 내(상선)
대구교통공사,1호선,화원,지하3,(B3) 설화명곡 방향 승강장 내(상선)
대구교통공사,1호선,화원,지하3,(B3) 대곡 방향 승강장 내(하선)
대구교통공사,2호선,감삼,지하3,(B3)죽전 방향 승강장 내
대구교통공사,2호선,강창,지하3,(B3) 대실 방향 승강장 내(상선)
대구교통공사,2호선,강창,지하3,(B3) 계명대 방향 승강장 내(하선)
대구교통공사,2호선,경대병원,지하3,(B3) 반월당 방향 승강장 내
대구교통공사,2호선,계명대,지하3,(B3) 성서산단 방향 승강장 내(하선)
대구교통공사,2호선,계명대,지하3,(B3) 강창 방향 승강장 내(상선)
대구교통공사,2호선,고산,지하3,(B3) 신매 방향 승강장 내(하선)
대구교통공사,2호선,고산,지하3,(B3) 대공원 방향 승강장 내(상선)
대구교통공사,2호선,내당,지하3,(B3)두류 방향 승강장 내
대구교통공사,2호선,다사,지하2,(B2) 대실 방향 승강장 내(하선)
대구교통공사,2호선,다사,지하2,(B2) 문양 방향 승강장 내(상선)
대구교통공사,2호선,담티(산대·대륜),지하4,(B4) 만촌 방향 승강장 내
대구교통공사,2호선,대공원,지하5,(B5) 고산 방향 승강장 내(하선)
대구교통공사,2호선,대공원,지하5,(B5) 연호 방향 승강장 내(상선)
대구교통공사,2호선,대구은행,지하3,(B3) 경대병원 방향 승강장 내
대구교통공사,2호선,대실,지하3,(B3) 강창 방향 승강장 내(하선)
대구교통공사,2호선,대실,지하3,(B3) 다사 방향 승강장 내(상선)
대구교통공사,2호선,두류,지하3,(B3)감삼 방향 승강장 내
대구교통공사,2호선,만촌,지하3,(B3) 수성구청 방향 승강장 내
대구교통공사,2호선,문양,지상3,(4F) 문양 승강장 내
대구교통공사,2호선,반고개,지하3,(B3)내당 방향 승강장 내
대구교통공사,2호선,반월당,지하4,(B4) 청라언덕 방향 승강장 내
대구교통공사,2호선,범어,지하4,(B4) 대구은행 방향 승강장 내
대구교통공사,2호선,사월,지하4,(B4) 신매 방향 승강장 내
대구교통공사,2호선,성서산업단지,지하3,(B3)계명대 방향 승강장 내
대구교통공사,2호선,수성구청(KBS),지하3,(B3) 범어 방향 승강장 내
대구교통공사,2호선,청라언덕,지하4,(B4)반고개 방향 승강장 내
대구교통공사,2호선,신매,지하3,(B3) 고산 방향 승강장 내(상선)
대구교통공사,2호선,신매,지하3,(B3) 사월 방향 승강장 내(하선)
대구교통공사,2호선,연호,지하3,(B3) 담타 방향 승강장 내
대구교통공사,2호선,영남대,지하3,(B3) 임당 방향 승강장 내(상선)
대구교통공사,2호선,영남대,지하3,(B3) 영남대 승강장 내(하선)
대구교통공사,2호선,용산(서부법원·검찰청입구),지하3,(B3)이곡 방향 승강장 내
대구교통공사,2호선,이곡,지하4,(B4)성서산단 방향 승강장 내
대구교통공사,2호선,임당,지하3,(B3) 정평 방향 승강장 내(상선)
대구교통공사,2호선,임당,지하3,(B3) 영남대 방향 승강장 내(하선)
대구교통공사,2호선,정평,지하2,(B2) 임당 방향 승강장 내(하선)
대구교통공사,2호선,정평,지하2,(B2) 사월 방향 승강장 내(상선)
대구교통공사,2호선,죽전,지하1,(B1) 연결통로
대구교통공사,2호선,죽전,지하4,(B4)용산 방향 승강장 내
대구교통공사,3호선,건들바위,지상3,(3F) 대봉교 방향 승강장 내(하선)
대구교통공사,3호선,건들바위,지상3,(3F) 명덕 방향 승강장 내(상선)
대구교통공사,3호선,공단,지상3,(3F) 만평 방향 승강장 내(하선)
대구교통공사,3호선,공단,지상3,(3F) 팔달 방향 승강장 내(상선)
대구교통공사,3호선,구암,지상3,(3F) 태전 방향 승강장 내(하선)
대구교통공사,3호선,구암,지상3,(3F) 칠곡운암 방향 승강장 내(상선)
대구교통공사,3호선,남산,지상3,(3F) 명덕 방향 승강장 내(하선)
대구교통공사,3호선,남산,지상3,(3F) 청라언덕 방향 승강장 내(상선)
대구교통공사,3호선,달성공원,지상3,(3F) 서문시장 방향 승강장 내(하선)
대구교통공사,3호선,달성공원,지상3,(3F) 북구청 방향 승강장 내(상선)
대구교통공사,3호선,대봉교,지상3,(3F) 수성시장 방향 승강장 내(하선)
대구교통공사,3호선,대봉교,지상3,(3F) 건들바위 방향 승강장 내(상선)
대구교통공사,3호선,동천,지상3,(3F) 칠곡운암 방향 승강장 내(하선)
대구교통공사,3호선,동천,지상3,(3F) 팔거 방향 승강장 내(상선)
대구교통공사,3호선,만평,지상3,(3F) 공단 방향 승강장 내(상선)
대구교통공사,3호선,만평,지상3,(3F) 팔달시장 방향 승강장 내(하선)
대구교통공사,3호선,매천,지상3,(3F) 매천시장 방향 승강장 내(하선)
대구교통공사,3호선,매천,지상3,(3F) 태전 방향 승강장 내(상선)
대구교통공사,3호선,매천시장,지상3,(3F) 팔달 방향 승강장 내(하선)
대구교통공사,3호선,매천시장,지상3,(3F) 매천 방향 승강장 내(상선)
대구교통공사,3호선,명덕(2.28민주운동기념회관),지상3,(3F) 건들바위 방향 승강장 내(하선)
대구교통공사,3호선,명덕(2.28민주운동기념회관),지상3,(3F) 남산 방향 승강장 내(상선)
대구교통공사,3호선,범물,지상3,(3F) 지산 방향 승강장 내(상선)
대구교통공사,3호선,범물,지상3,(3F) 용지 방향 승강장 내(하선)
대구교통공사,3호선,북구청,지상3,(3F) 달성공원 방향 승강장 내(하선)
대구교통공사,3호선,북구청,지상3,(3F) 원대 방향 승강장 내(상선)
대구교통공사,3호선,서문시장(동산병원),지상3,(3F) 달성공원 방향 승강장 내(상선)
대구교통공사,3호선,서문시장(동산병원),지상3,(3F) 청라언덕 방향 승강장 내(하선)
대구교통공사,3호선,수성구민운동장,지상3,(3F) 어린이회관 방향 승강장 내(하선)
대구교통공사,3호선,수성구민운동장,지상3,(3F) 수성시장 방향 승강장 내(상선)
대구교통공사,3호선,수성못(TBC),지상3,(3F) 지산 방향 승강장 내(하선)
대구교통공사,3호선,수성못(TBC),지상3,(3F) 황금 방향 승강장 내(상선)
대구교통공사,3호선,수성시장,지상3,(3F) 대봉교 방향 승강장 내(상선)
대구교통공사,3호선,수성시장,지상3,(3F) 수성구민운동장 방향 승강장 내(하선)
대구교통공사,3호선,청라언덕,지상3,(3F) 서문시장 방향 승강장 내(상선)
대구교통공사,3호선,청라언덕,지상3,(3F) 남산 방향 승강장 내(하선)
대구교통공사,3호선,어린이회관,지상3,(3F) 황금 방향 승강장 내(하선)
대구교통공사,3호선,어린이회관,지상3,(3F) 수성구민운동장 방향 승강장 내(상선)
대구교통공사,3호선,용지,지상3,(3F) 용지 승강장 내(하선)
대구교통공사,3호선,용지,지상3,(3F) 범물 방향 승강장 내(상선)
대구교통공사,3호선,원대,지상3,(3F) 팔달시장 방향 승강장 내(상선)
대구교통공사,3호선,원대,지상3,(3F) 북구청 방향 승강장 내(하선)
대구교통공사,3호선,지산,지상3,(3F) 범물 방향 승강장 내(하선)
대구교통공사,3호선,지산,지상3,(3F) 수성못 방향 승강장 내(상선)
대구교통공사,3호선,칠곡경대병원,지상3,(3F) 학정 방향 승강장 내(하선)
대구교통공사,3호선,칠곡경대병원,지상3,(3F) 칠곡경대병원 승강장 내(상선)
대구교통공사,3호선,칠곡운암,지상3,(3F) 동천 방향 승강장 내(상선)
대구교통공사,3호선,칠곡운암,지상3,(3F) 구암 방향 승강장 내(하선)
대구교통공사,3호선,태전,지상3,(3F) 구암 방향 승강장 내(상선)
대구교통공사,3호선,태전,지상3,(3F) 매천 방향 승강장 내(하선)
대구교통공사,3호선,팔거(국립농관원·통계청),지상3,(3F) 동천 방향 승강장 내(하선)
대구교통공사,3호선,팔거(국립농관원·통계청),지상3,(3F) 학정 방향 승강장 내(상선)
대구교통공사,3호선,팔달,지상3,(3F) 공단 방향 승강장 내(하선)
대구교통공사,3호선,팔달,지상3,(3F) 매천시장 방향 승강장 내(상선)
대구교통공사,3호선,팔달시장,지상3,(3F) 만평 방향 승강장 내(상선)
대구교통공사,3호선,팔달시장,지상3,(3F) 원대 방향 승강장 내(하선)
대구교통공사,3호선,학정,지상3,(3F) 팔거 방향 승강장 내(하선)
대구교통공사,3호선,학정,지상3,(3F) 칠곡경대병원 방향 승강장 내(상선)
대구교통공사,3호선,황금,지상3,(3F) 어린이회관 방향 승강장 내(상선)
대구교통공사,3호선,황금,지상3,(3F) 수성못 방향 승강장 내(하선)
