호선,설치역,설치층,설치장소,설치위치,품명,제조사,설치연도,관할보건소,역주소,역전화번호
1,설화명곡역,지하2층,대합실,게이트 앞,CU-SP1,씨유메디칼,2020,달성군보건소,대구 달성군 화원읍 비슬로 2476,053-643-2674
1,설화명곡역,지하3층,승강장,안심방면 4-4 방향,CU-SP1,씨유메디칼,2020,달성군보건소,대구 달성군 화원읍 비슬로 2476,053-643-2674
1,화원역,지하1층,대합실,수유실앞,CU-SP1,씨유메디칼,2020,달성군보건소,대구 달성군 화원읍 비슬로 지하2600,053-643-5125
1,화원역,지하3층,승강장,안심방면 3-4 방향,CU-SP1,씨유메디칼,2020,달성군보건소,대구 달성군 화원읍 비슬로 지하2600,053-643-5125
1,대곡역,지하2층,대합실,고객안내센터 앞,NT-180,오맥스,2017,달서구보건소,대구 달서구 비슬로 지하2718 (대곡동),053-644-7723
1,대곡역,지하3층,승강장,안심방면 2-3 방향,CU-SP1,씨유메디칼,2020,달서구보건소,대구 달서구 비슬로 지하2718 (대곡동),053-644-7723
1,진천역,지하1층,대합실,고객안내센터 앞,CU-SP1,씨유메디칼,2020,달서구보건소,대구 달서구 월배로 지하76 (진천동),053-642-7723
1,진천역,지하2층,승강장,안심방면 5-1 방향,CU-SP1,씨유메디칼,2020,달서구보건소,대구 달서구 월배로 지하76 (진천동),053-642-7723
1,월배역,지하1층,대합실,고객안내센터 앞,CU-SP1,씨유메디칼,2020,달서구보건소,대구 달서구 월배로 지하143 (진천동),053-642-7732
1,월배역,지하2층,승강장,안심방면 2-2 방향,CU-SP1,씨유메디칼,2020,달서구보건소,대구 달서구 월배로 지하143 (진천동),053-642-7732
1,상인역,지하1층,대합실,설화명곡방면 인명구조함 옆,NT-180,오맥스,2017,달서구보건소,대구 달서구 월배로 지하223 (상인동),053-642-7745
1,상인역,지하2층,승강장,안심방면 종점 선로출입문 옆,CU-SP1,씨유메디칼,2020,달서구보건소,대구 달서구 월배로 지하223 (상인동),053-642-7745
1,월촌역,지하1층,대합실,고객안내센터 앞,CU-SP1,씨유메디칼,2020,달서구보건소,대구 달서구 월배로 지하311 (송현동),053-626-7710
1,월촌역,지하2층,승강장,안심방면 3-3 방향,CU-SP1,씨유메디칼,2020,달서구보건소,대구 달서구 월배로 지하311 (송현동),053-626-7710
1,송현역,지하2층,대합실,1코너 매표소 출입문 옆,CU-SP1,씨유메디칼,2020,달서구보건소,대구 달서구 월배로 지하412 (송현동),053-626-7730
1,송현역,지하3층,승강장,안심방면 2-1 방향,CU-SP1,씨유메디칼,2020,달서구보건소,대구 달서구 월배로 지하412 (송현동),053-626-7730
1,서부정류장역,지하1층,대합실,역무실 앞,CU-SP1,씨유메디칼,2020,남구보건소,대구 남구 월배로 지하501 (대명동),053-651-7736
1,대명역,지하1층,대합실,역무실 앞,CU-SP1,씨유메디칼,2020,남구보건소,대구 남구 대명로 지하71 (대명동),053-627-7746
1,대명역,지하2층,승강장,안심방면 4-4 방향,CU-SP1,씨유메디칼,2020,남구보건소,대구 남구 대명로 지하71 (대명동),053-627-7746
1,안지랑역,지하1층,대합실,발매기실 앞,CU-SP1,씨유메디칼,2020,남구보건소,대구 남구 대명로 지하141 (대명동),053-626-7747
1,안지랑역,지하2층,대합실,안심방면 1-4 방향,CU-SP1,씨유메디칼,2020,남구보건소,대구 남구 대명로 지하141 (대명동),053-626-7747
1,현충로역,지하1층,대합실,게이트 앞,CU-SP1,씨유메디칼,2020,남구보건소,대구 남구 대명로 지하222 (대명동),053-651-7756
1,영대병원역,지하1층,대합실,역무실 앞,CU-SP1,씨유메디칼,2020,남구보건소,대구 남구 대명로 지하292 (대명동),053-626-7760
1,영대병원역,지하2층,승강장,안심방면 4-2 방향,CU-SP1,씨유메디칼,2020,남구보건소,대구 남구 대명로 지하292 (대명동),053-626-7760
1,교대역,지하2층,대합실,1코너 발매기 옆,CU-SP1,씨유메디칼,2020,남구보건소,대구 남구 중앙대로 지하194 (대명동),053-473-7702
1,교대역,지하3층,승강장,안심방면 3-3 방향,CU-SP1,씨유메디칼,2020,남구보건소,대구 남구 중앙대로 지하194 (대명동),053-473-7702
1,1명덕역,지하1층,대합실,매표실 옆,NT-180,오맥스,2016,중구보건소,대구 중구 명덕로 지하185 (남산동),053-255-7723
1,1명덕역,지하2층,승강장,설화명곡방면 1-4 방향,CU-SP1,씨유메디칼,2020,중구보건소,대구 중구 명덕로 지하185 (남산동),053-255-7723
1,1반월당역,지하3층,대합실,역무실 앞,CU-SP1,씨유메디칼,2020,중구보건소,대구 중구 달구벌대로 지하2100 (덕산동),053-255-7735
1,중앙로,지하2층,대합실,역무실 앞,NT-180,오맥스,2017,중구보건소,대구 중구 중앙대로 지하424 (남일동),053-256-7746
1,중앙로,지하3층,승강장,설화명곡방면 5-1 방향,CU-SP1,씨유메디칼,2020,중구보건소,대구 중구 중앙대로 지하424 (남일동),053-256-7746
1,대구역,지하2층,대합실,1발매기실 앞,CU-SP1,씨유메디칼,2020,북구보건소,대구 북구 칠성남로30길 지하24 (칠성동),053-426-7797
1,칠성시장역,지하3층,승강장,설화명곡방면 4-2 방향,CU-SP1,씨유메디칼,2020,북구보건소,대구 북구 칠성남로 지하222 (칠성동),053-427-7751
1,신천역,지하1층,대합실,매표실 앞,CU-SP1,씨유메디칼,2020,동구보건소,대구 동구 동부로 지하41 (신천동),053-756-7706
1,신천역,지하2층,승강장,설화명곡방면 2-1 방향,CU-SP1,씨유메디칼,2020,동구보건소,대구 동구 동부로 지하41 (신천동),053-756-7706
1,동대구역,지하1층,대합실,역무실 앞,NT-180,오맥스,2017,동구보건소,대구 동구 동대구로 지하530 (신천동),053-742-7787
1,동대구역,지하3층,승강장,설화명곡방면 4-3 방향,CU-SP1,씨유메디칼,2020,동구보건소,대구 동구 동대구로 지하530 (신천동),053-742-7787
1,동구청역,지하1층,대합실,고객안내센터 앞,CU-SP1,씨유메디칼,2020,동구보건소,대구 동구 신암남로 지하169 (신암동),053-942-7721
1,동구청역,지하2층,승강장,설화명곡방면 5-4 방향,CU-SP1,씨유메디칼,2020,동구보건소,대구 동구 신암남로 지하169 (신암동),053-942-7721
1,아양교역,지하3층,대합실,고객안내센터 옆,CU-SP1,씨유메디칼,2020,동구보건소,대구 동구 아양로 지하245 (신암동),053-942-7724
1,아양교역,지하3층,승강장,설화명곡방면 5-2 방향,CU-SP1,씨유메디칼,2020,동구보건소,대구 동구 아양로 지하245 (신암동),053-942-7724
1,동촌역,지하3층,대합실,1매표실 앞,CU-SP1,씨유메디칼,2020,동구보건소,대구 동구 해동로 지하197 (검사동),053-981-7731
1,동촌역,지하4층,승강장,설화명곡방면 3-2 방향,CU-SP1,씨유메디칼,2020,동구보건소,대구 동구 해동로 지하197 (검사동),053-981-7731
1,해안역,지하2층,대합실,고객안내센터 주출입구 좌측,CU-SP1,씨유메디칼,2020,동구보건소,대구 동구 동촌로 지하167 (방촌동),053-981-7775
1,해안역,지하3층,승강장,설화명곡방면 3-4 방향,CU-SP1,씨유메디칼,2020,동구보건소,대구 동구 동촌로 지하167 (방촌동),053-981-7775
1,방촌역,지하1층,대합실,고객안내센터 주출입구 좌측,CU-SP1,씨유메디칼,2020,동구보건소,대구 동구 동촌로 지하275 (방촌동),053-984-7716
1,용계역,지하1층,대합실,고객안내센터 주출입구 좌측,CU-SP1,씨유메디칼,2020,동구보건소,대구 동구 동촌로 지하383 (용계동),053-985-7798
1,율하역,지하1층,대합실,역무실 앞,CU-SP1,씨유메디칼,2020,동구보건소,대구 동구 안심로 지하57 (율하동),053-962-7729
1,율하역,지하2층,승강장,설화명곡방면 6-2 방향,CU-SP1,씨유메디칼,2020,동구보건소,대구 동구 안심로 지하57 (율하동),053-962-7729
1,신기역,지하1층,대합실,E/L 1호기 입구,NT-381C,나눔테크,2022,동구보건소,대구 동구 안심로 지하159 (신기동),053-962-7773
1,신기역,지하2층,승강장,설화명곡방면 3-3 방향,CU-SP1,씨유메디칼,2020,동구보건소,대구 동구 안심로 지하159 (신기동),053-962-7773
1,반야월역,지하1층,대합실,역무실 앞,CU-SP1,씨유메디칼,2020,동구보건소,대구 동구 안심로 지하261 (동호동),053-962-7798
1,반야월역,지하2층,승강장,설화명곡방면 3-3 방향,CU-SP1,씨유메디칼,2020,동구보건소,대구 동구 안심로 지하261 (동호동),053-962-7798
1,각산역,지하1층,대합실,역무실 앞,CU-SP1,씨유메디칼,2020,동구보건소,대구 동구 안심로 지하363 (신서동),053-963-7754
1,각산역,지하2층,승강장,설화명곡방면 2-1 방향,CU-SP1,씨유메디칼,2020,동구보건소,대구 동구 안심로 지하363 (신서동),053-963-7754
1,안심역,지하1층,대합실,역무실 앞,CU-SP1,씨유메디칼,2020,동구보건소,대구 동구 안심로 지하455 (괴전동),053-963-7769
2,문양역,지상4층,승강장,E/L 1호기 옆,CU-SP1,씨유메디칼,2020,달성군보건소,대구 달성군 다사읍 문양역길 71,053-584-6826
2,다사역,지하1층,대합실,역무실 앞,CU-SP1,씨유메디칼,2020,달성군보건소,대구 달성군 다사읍 다사역로 지하30 ,053-588-6680
2,다사역,지하2층,승강장,문양방면 4-4 방향,CU-SP1,씨유메디칼,2020,달성군보건소,대구 달성군 다사읍 다사역로 지하30 ,053-588-6680
2,대실역,지하2층,대합실,공중전화기옆,CU-SP1,씨유메디칼,2020,달성군보건소,대구 달성군 다사읍 달구벌대로 지하888 ,053-587-1933
2,대실역,지하3층,승강장,영남대방면 4-1 방향,CU-SP1,씨유메디칼,2020,달성군보건소,대구 달성군 다사읍 달구벌대로 지하888 ,053-587-1933
2,강창역,지하2층,대합실,2코너 우대권발매기 앞,CU-SP1,씨유메디칼,2020,달서구보건소,대구 달서구 달구벌대로 지하1014 (호산동),053-585-0660
2,강창역,지하3층,승강장,영남대방면 3-4 방향,CU-SP1,씨유메디칼,2020,달서구보건소,대구 달서구 달구벌대로 지하1014 (호산동),053-585-0660
2,계명대역,지하2층,대합실,2코너 지폐교환기 옆,HR-501-B,라디안큐바이오,2019,달서구보건소,대구 달서구 달구벌대로 지하1140 (신당동),053-588-0990
2,계명대역,지하3층,승강장,영남대방면 4-1 방향,CU-SP1,씨유메디칼,2020,달서구보건소,대구 달서구 달구벌대로 지하1140 (신당동),053-588-0990
2,성서산업단지역,지하2층,대합실,1코너 지폐교환기 옆,CU-SP1,씨유메디칼,2020,달서구보건소,대구 달서구 달구벌대로 지하1280 (이곡동),053-582-6215
2,성서산업단지역,지하3층,승강장,영남대방면 3-2 방향,CU-SP1,씨유메디칼,2020,달서구보건소,대구 달서구 달구벌대로 지하1280 (이곡동),053-582-6215
2,이곡역,지하1층,대합실,게이트 앞,CU-SP1,씨유메디칼,2020,달서구보건소,대구 달서구 달구벌대로 지하1357 (이곡동),053-582-6214
2,이곡역,지하4층,승강장,문양방면 5-2 방향,CU-SP1,씨유메디칼,2020,달서구보건소,대구 달서구 달구벌대로 지하1357 (이곡동),053-582-6214
2,용산역,지하2층,대합실,2코너 게이트 옆,HR-501,라디안큐바이오,2018,달서구보건소,대구 달서구 달구벌대로 지하1476 (용산동),053-553-3598
2,용산역,지하3층,승강장,영남대방면 2-3 방향,CU-SP1,씨유메디칼,2020,달서구보건소,대구 달서구 달구벌대로 지하1476 (용산동),053-553-3598
2,죽전역,지하3층,대합실,게이트 앞,CU-SP1,씨유메디칼,2020,달서구보건소,대구 달서구 달구벌대로 지하1560 (죽전동),053-556-0290
2,죽전역,지하4층,승강장,영남대방면 6-1 방향,CU-SP1,씨유메디칼,2020,달서구보건소,대구 달서구 달구벌대로 지하1560 (죽전동),053-556-0290
2,감삼역,지하3층,승강장,영남대방면 5-4 방향,CU-SP1,씨유메디칼,2020,달서구보건소,대구 달서구 달구벌대로 지하1665 (감삼동),053-552-2856
2,두류역,지하2층,대합실,수유실 앞,HR-501,라디안큐바이오,2018,달서구보건소,대구 달서구 달구벌대로 지하1760 (두류동),053-628-3663
2,두류역,지하3층,승강장,영남대방면 5-2 방향,CU-SP1,씨유메디칼,2020,달서구보건소,대구 달서구 달구벌대로 지하1760 (두류동),053-628-3663
2,내당역,지하1층,대합실,화장실 옆,CU-SP1,씨유메디칼,2020,서구보건소,대구 달서구 달구벌대로 지하1900 (두류동),053-656-6038
2,내당역,지하3층,승강장,문양방면 5-2 방향,CU-SP1,씨유메디칼,2020,서구보건소,대구 달서구 달구벌대로 지하1900 (두류동),053-656-6038
2,반고개역,지하1층,대합실,역무실 앞(게이트 옆),CU-SP1,씨유메디칼,2020,달서구보건소,대구 서구 달구벌대로 지하1827 (내당동),053-655-1196
2,반고개역,지하3층,승강장,영남대방면 3-4 방향,CU-SP1,씨유메디칼,2020,달서구보건소,대구 서구 달구벌대로 지하1827 (내당동),053-655-1196
2,2청라언덕역,지하1층,대합실,역무실 앞,NT-180,오맥스,2016,중구보건소,대구 중구 달구벌대로 지하2000 (동산동),053-256-7728
2,2청라언덕역,지하4층,승강장,문양방면 3-4(E/L 3호기 옆),CU-SP1,씨유메디칼,2020,중구보건소,대구 중구 달구벌대로 지하2000 (동산동),053-256-7728
2,2반월당역,지하4층,승강장,영남대방면 4-4 방향(기둥),CU-SP1,씨유메디칼,2020,중구보건소,대구 중구 달구벌대로 지하2100 (덕산동),053-252-0689
2,경대병원역,지하1층,대합실,역무실 앞,CU-SP1,씨유메디칼,2020,중구보건소,대구 중구 달구벌대로 지하2190 (삼덕동),053-427-0523
2,경대병원역,지하3층,승강장,문양방면 2-3 방향,CU-SP1,씨유메디칼,2020,중구보건소,대구 중구 달구벌대로 지하2190 (삼덕동),053-427-0523
2,대구은행역,지하1층,대합실,역무실 앞(메디체크 존 옆),CU-SP1,씨유메디칼,2020,수성구보건소,대구 수성구 달구벌대로 지하2300 (수성동),053-752-0206
2,대구은행역,지하3층,승강장,영남대방면 5-2 방향(기둥 옆),CU-SP1,씨유메디칼,2020,수성구보건소,대구 수성구 달구벌대로 지하2300 (수성동),053-752-0206
2,범어역,지하3층,대합실,역무실 옆,HR-501,라디안큐바이오,2018,수성구보건소,대구 수성구 달구벌대로 지하2396 (범어동),053-756-9376
2,범어역,지하4층,승강장,영남대방면 4-1 방향,CU-SP1,씨유메디칼,2020,수성구보건소,대구 수성구 달구벌대로 지하2396 (범어동),053-756-9376
2,수성구청역,지하1층,대합실,역무실 앞(발매기 옆),CU-SP1,씨유메디칼,2020,수성구보건소,대구 수성구 달구벌대로 지하2500 (범어동),053-756-7822
2,수성구청역,지하3층,승강장,영남대방면 5-3 방향,CU-SP1,씨유메디칼,2020,수성구보건소,대구 수성구 달구벌대로 지하2500 (범어동),053-756-7822
2,만촌역,지하2층,대합실,역무실 앞(게이트 옆),CU-SP1,씨유메디칼,2020,수성구보건소,대구 수성구 달구벌대로 지하2584 (만촌동),053-751-0287
2,만촌역,지하3층,승강장,문양방면 4-4 방향,CU-SP1,씨유메디칼,2020,수성구보건소,대구 수성구 달구벌대로 지하2584 (만촌동),053-751-0287
2,담티역,지하2층,대합실,역무실 앞(화장실옆),CU-SP1,씨유메디칼,2020,수성구보건소,대구 수성구 달구벌대로 지하2672 (만촌동),053-752-0959
2,담티역,지하4층,승강장,문양방면 4-3 방향 ,CU-SP1,씨유메디칼,2020,수성구보건소,대구 수성구 달구벌대로 지하2672 (만촌동),053-752-0959
2,연호역,지하1층,대합실,발매기 옆,CU-SP1,씨유메디칼,2020,수성구보건소,대구 수성구 달구벌대로 지하2870 (연호동),053-791-0922
2,연호역,지하3층,승강장,문양방면 5-4 방향,CU-SP1,씨유메디칼,2020,수성구보건소,대구 수성구 달구벌대로 지하2870 (연호동),053-791-0922
2,대공원역,지하3층,대합실,역무실 앞(15번 기둥),CU-SP1,씨유메디칼,2020,수성구보건소,대구 수성구 달구벌대로 지하2950 (연호동),053-791-0881
2,대공원역,지하5층,승강장,문양방면 3-2 방향(9번 기둥),CU-SP1,씨유메디칼,2020,수성구보건소,대구 수성구 달구벌대로 지하2950 (연호동),053-791-0881
2,고산역,지하1층,대합실,역무실 앞(게이트 옆),CU-SP1,씨유메디칼,2020,수성구보건소,대구 수성구 달구벌대로 지하3080 (시지동),053-791-0858
2,고산역,지하3층,승강장,영남대 방면 2-4 방향,CU-SP1,씨유메디칼,2020,수성구보건소,대구 수성구 달구벌대로 지하3080 (시지동),053-791-0858
2,신매역,지하2층,대합실,역무실 앞(게이트 옆),CU-SP1,씨유메디칼,2020,수성구보건소,대구 수성구 달구벌대로 지하3180 (매호동),053-791-0898
2,신매역,지하3층,승강장,문양방면 3-1 방향,CU-SP1,씨유메디칼,2020,수성구보건소,대구 수성구 달구벌대로 지하3180 (매호동),053-791-0898
2,사월역,지하3층,대합실,손소독기 옆,CU-SP1,씨유메디칼,2020,수성구보건소,대구 수성구달구벌대로 지하3290 (신매동),053-813-0767
2,사월역,지하4층,승강장,영남대방면 4-4 방향,CU-SP1,씨유메디칼,2020,수성구보건소,대구 수성구달구벌대로 지하3290 (신매동),053-813-0767
