철도운영기관명,선명,역명,역구성순서,구간키로,기점키로
대구교통공사,1호선,설화명곡,1,0,0
대구교통공사,1호선,화원,2,1.2,1.2
대구교통공사,1호선,대곡(정부대구청사),3,1.3,2.5
대구교통공사,1호선,진천,4,1,3.5
대구교통공사,1호선,월배,5,0.8,4.3
대구교통공사,1호선,상인,6,0.7,5
대구교통공사,1호선,월촌,7,0.9,5.9
대구교통공사,1호선,송현,8,1,6.9
대구교통공사,1호선,서부정류장(관문시장),9,0.8,7.7
대구교통공사,1호선,대명,10,0.8,8.5
대구교통공사,1호선,안지랑,11,0.8,9.3
대구교통공사,1호선,현충로,12,0.7,10
대구교통공사,1호선,영대병원,13,0.9,10.9
대구교통공사,1호선,교대,14,0.9,11.8
대구교통공사,1호선,명덕(2.28민주운동기념회관),15,0.7,12.5
대구교통공사,1호선,반월당,16,0.8,13.3
대구교통공사,1호선,중앙로,17,0.7,14
대구교통공사,1호선,대구역,18,0.7,14.7
대구교통공사,1호선,칠성시장,19,1.2,15.9
대구교통공사,1호선,신천(경북대입구),20,1.2,17.1
대구교통공사,1호선,동대구역,21,0.9,18
대구교통공사,1호선,동구청(큰고개),22,0.9,18.9
대구교통공사,1호선,아양교,23,0.8,19.7
대구교통공사,1호선,동촌,24,1,20.7
대구교통공사,1호선,해안,25,1,21.7
대구교통공사,1호선,방촌,26,1,22.7
대구교통공사,1호선,용계,27,1.2,23.9
대구교통공사,1호선,율하,28,1.2,25.1
대구교통공사,1호선,신기,29,1.1,26.2
대구교통공사,1호선,반야월,30,1,27.2
대구교통공사,1호선,각산,31,0.99,28.19
대구교통공사,1호선,안심(혁신도시·첨복단지),32,0.9,29.09
대구교통공사,2호선,문양,1,0,0
대구교통공사,2호선,다사,2,2.9,2.9
대구교통공사,2호선,대실,3,1,3.9
대구교통공사,2호선,강창,4,1.4,5.3
대구교통공사,2호선,계명대,5,1.3,6.6
대구교통공사,2호선,성서산업단지,6,1.2,7.8
대구교통공사,2호선,이곡,7,0.8,8.6
대구교통공사,2호선,용산(서부법원·검찰청입구),8,1.3,9.9
대구교통공사,2호선,죽전,9,0.9,10.8
대구교통공사,2호선,감삼,10,0.9,11.7
대구교통공사,2호선,두류,11,0.8,12.5
대구교통공사,2호선,내당,12,0.9,13.4
대구교통공사,2호선,반고개,13,0.8,14.2
대구교통공사,2호선,청라언덕,14,0.9,15.1
대구교통공사,2호선,반월당,15,1,16.1
대구교통공사,2호선,경대병원,16,0.9,17
대구교통공사,2호선,대구은행,17,1.1,18.1
대구교통공사,2호선,범어,18,1,19.1
대구교통공사,2호선,수성구청(KBS),19,0.9,20
대구교통공사,2호선,만촌,20,0.9,20.9
대구교통공사,2호선,담티(산대·대륜),21,0.9,21.8
대구교통공사,2호선,연호,22,1.8,23.6
대구교통공사,2호선,대공원,23,1,24.6
대구교통공사,2호선,고산,24,1.2,25.8
대구교통공사,2호선,신매,25,1.1,26.9
대구교통공사,2호선,사월,26,0.84,27.7
대구교통공사,2호선,정평,27,1.004,28.7
대구교통공사,2호선,임당,28,1.1,29.8
대구교통공사,2호선,영남대,29,1.1,30.9
대구교통공사,3호선,칠곡경대병원,1,0,0
대구교통공사,3호선,학정,2,0.8,0.8
대구교통공사,3호선,팔거(국립농관원·통계청),3,0.8,1.6
대구교통공사,3호선,동천,4,0.7,2.3
대구교통공사,3호선,칠곡운암,5,0.7,3
대구교통공사,3호선,구암,6,0.7,3.7
대구교통공사,3호선,태전,7,0.7,4.4
대구교통공사,3호선,매천,8,0.9,5.3
대구교통공사,3호선,매천시장,9,1.1,6.4
대구교통공사,3호선,팔달,10,0.8,7.2
대구교통공사,3호선,공단,11,0.9,8.1
대구교통공사,3호선,만평,12,0.7,8.8
대구교통공사,3호선,팔달시장,13,0.6,9.4
대구교통공사,3호선,원대,14,0.6,10
대구교통공사,3호선,북구청,15,0.8,10.8
대구교통공사,3호선,달성공원,16,0.9,11.7
대구교통공사,3호선,서문시장(동산병원),17,0.6,12.3
대구교통공사,3호선,청라언덕,18,0.6,12.9
대구교통공사,3호선,남산,19,0.9,13.8
대구교통공사,3호선,명덕(2.28민주운동기념회관),20,0.6,14.4
대구교통공사,3호선,건들바위,21,0.9,15.3
대구교통공사,3호선,대봉교,22,0.6,15.9
대구교통공사,3호선,수성시장,23,0.9,16.8
대구교통공사,3호선,수성구민운동장,24,1,17.8
대구교통공사,3호선,어린이회관,25,0.8,18.6
대구교통공사,3호선,황금,26,0.7,19.3
대구교통공사,3호선,수성못(TBC),27,0.9,20.2
대구교통공사,3호선,지산,28,1.1,21.3
대구교통공사,3호선,범물,29,0.9,22.2
대구교통공사,3호선,용지,30,0.7,22.9
