호선,역명,구분,상호,시간(분),상세
1호선,설화명곡,문화 휴식,달성군여성문화복지센터,3,달성군문화센터
1호선,설화명곡,문화 휴식,옥연지 송해공원,25,공원
1호선,설화명곡,살거리,하나로클럽,5,대형마트
1호선,설화명곡,살거리,대구달성산림조합임산물직매장,3,임산물직매장
1호선,설화명곡,살거리,명곡종합시장,12,재래시장
1호선,화원,살거리,화원농협하나로마트,4,대형마트
1호선,화원,문화 휴식,사랑나누기도서관,9,도서관
1호선,화원,문화 휴식,달성군장난감도서관,1,도서관
1호선,화원,문화 휴식,달성군민독서실,4,독서실
1호선,화원,문화 휴식,화원유원지,10,"동물원, 미니랜드"
1호선,화원,살거리,화원시장,8,재래시장
1호선,대곡(정부대구청사),문화 휴식,상화기념관이장가문화관,7,이장가 일가의 각종 자료 전시
1호선,대곡(정부대구청사),먹거리,별난복어,5,"복어불고기, 복어탕, 복어찜 전문"
1호선,대곡(정부대구청사),문화 휴식,대구수목원,20,국내 최대의 자연학습장
1호선,진천,살거리,이마트 월배점,5,"의류, 생필품, 잡화"
1호선,진천,먹거리,열이네 매운탕,3,각종 민물고기 매운탕 전문
1호선,진천,문화 휴식,선사유적공원,6,공원
1호선,월배,살거리,월배시장,7,"재래, 도매시장"
1호선,상인,문화 휴식,월광수변공원,30,국내 최대규모의 음악분수
1호선,상인,문화 휴식,월곡역사공원,15,공원 및 박물관
1호선,월촌,문화 휴식,대구청소년수련원,10,청소년 종합문화공간
1호선,월촌,문화 휴식,달서어린이도서관,3,"지하1층, 지상4층 규모"
1호선,월촌,살거리,월촌역시장,3,전통시장
1호선,송현,먹거리,가야성,2,중국전문점
1호선,서부정류장,살거리,관문시장,1,"농산물,생필품"
1호선,서부정류장,문화 휴식,두류공원,5,도심종합공원
1호선,대명,먹거리,남포 숯불 갈비,2,"소갈비, 돼지갈비 전문"
1호선,대명,살거리,BESTCO,3,전문식자재마트
1호선,대명,문화 휴식,앞산 빨래터,24,근린공원 봄 축제
1호선,안지랑,살거리,안지랑시장,1,재래시장
1호선,안지랑,살거리,홈플러스(남대구),5,대형할인점
1호선,안지랑,살거리,남부시장,6,재래시장
1호선,안지랑,먹거리,대덕식당,20,선지국밥집
1호선,안지랑,먹거리,안지랑곱창골목,4,곱창 테마거리
1호선,안지랑,문화 휴식,별자리 체험학습장,17,별자리 체험
1호선,현충로,먹거리,진설옥 설렁탕24시,2,"설렁탕, 도가니탕, 양곰탕, 꼬리곰탕 등"
1호선,현충로,문화 휴식,앞산공원,15,대구최대의 도시자연공원
1호선,현충로,문화 휴식,앞산카페거리,10,카페거리
1호선,영대병원,살거리,명덕시장,1,의류  생필품 잡화
1호선,교대,살거리,영선시장,3,재래시장
1호선,명덕(2.28민주운동기념회관),먹거리,갓바위 산골 순두부 보쌈,10,"순두부 요리, 장어구이, 보쌈 전문"
1호선,명덕(2.28민주운동기념회관),먹거리,송원,3,"찜, 전골 전문"
1호선,명덕(2.28민주운동기념회관),살거리,자동차골목,7,각종 자동차 부품 판매
1호선,명덕(2.28민주운동기념회관),살거리,악기상가거리,1,각종 악기 및 음향기기 판매
1호선,명덕(2.28민주운동기념회관),살거리,필마트 대명점,5,생활잡화 할인매장
1호선,명덕(2.28민주운동기념회관),살거리,남문시장,8,재래시장
1호선,명덕(2.28민주운동기념회관),문화 휴식,대구향교,14,유교사상교육
1호선,중앙로,먹거리,개정 (동성로점),4,한식 전문
1호선,중앙로,먹거리,이정,4,"일본라면, 카레라이스 전문"
1호선,중앙로,살거리,대현프리몰,1,종합쇼핑
1호선,중앙로,살거리,교보문고,2,"각종 펜시용품, 대형서점"
1호선,중앙로,살거리,동아백화점,5,"의류, 생필품, 잡화 등"
1호선,중앙로,살거리,대구백화점,4,"의류, 생필품, 잡화 등"
1호선,중앙로,살거리,황제당,1,"귀금속, 연인커플링, 예물"
1호선,중앙로,문화 휴식,2.18기념공원,6,"도심속의 휴식공간, 2. 18기념"
1호선,중앙로,문화 휴식,경상감영공원,2,조선시대
1호선,중앙로,문화 휴식,동성아트홀,5,대구유일의 예술전용 영화관
1호선,중앙로,문화 휴식,동성로거리,4,"쇼핑,"
1호선,반월당,살거리,메트로센터,1,쇼핑몰
1호선,반월당,살거리,영풍문고,3,대형서점
1호선,반월당,먹거리,삼삼구이,5,횟집
1호선,반월당,먹거리,명가 뚝배기,3,"굴국밥, 해장국 전문"
1호선,반월당,문화 휴식,대구근대화골목,5,"이상화, 서상돈 고택 등 근대문화체험"
1호선,반월당,문화 휴식,봉산문화거리,5,화랑
1호선,반월당,문화 휴식,약령시장,2,"한약재, 한약방"
1호선,반월당,문화 휴식,관덕정 순교기념관,3,기념관
1호선,반월당,문화 휴식,미도다방,5,70년 이상 전통의 진골목 다방
1호선,반월당,문화 휴식,성 김대건 기념관,10,천주교 대구 대교구청
1호선,반월당,살거리,현대백화점,4,대형백화점
1호선,반월당,살거리,동아쇼핑센터,3,"패션, 잡화 전문"
1호선,반월당,살거리,염매시장,3,폐백음식 전문
1호선,대구,살거리,홈플러스,8,대형할인매장
1호선,대구,살거리,번개시장,5,재래시장
1호선,대구,살거리,롯데백화점,1,"의류, 생필품, 잡화"
1호선,대구,문화 휴식,대구콘서트하우스,10,"1,532석 규모의 공연전시장"
1호선,칠성시장,살거리,칠성시장,1,"농ㆍ수산물, 생필품 저가판매"
1호선,신천(경북대입구),먹거리,재바우참숯불,1,숯불갈비
